era,task_id,classification,status,created_at,completed_at,latency_min,dispatch_or_retry
wg-era,t_327f9eabd76f,work,done,2026-05-28T23:43:51.954726270+00:00,2026-05-29T00:14:01.988669572+00:00,30.2,1
wg-era,t_923c28ea738d,work,done,2026-05-26T20:31:16.037366165+00:00,2026-05-26T20:37:55.470053208+00:00,6.7,1
wg-era,t_23e105f9c6b2,work,done,2026-05-26T20:31:16.945643636+00:00,2026-05-26T20:40:32.682603317+00:00,9.3,1
wg-era,t_0937f94c5bbe,work,done,2026-05-28T13:11:45.337758855+00:00,2026-05-28T13:21:26.674034807+00:00,9.7,1
wg-era,t_b336b158544e,work,done,2026-05-26T20:28:46.585892450+00:00,2026-05-26T21:13:56.497542107+00:00,45.2,1
wg-era,t_4dd33419ffcd,work,done,2026-05-28T03:43:52.494096630+00:00,2026-05-28T03:55:44.452067260+00:00,11.9,1
wg-era,t_15e387785472,work,done,2026-05-28T04:34:03.235931718+00:00,2026-05-28T04:38:51.055690030+00:00,4.8,1
wg-era,t_d687d6fdef9d,work,done,2026-05-28T20:29:14.931636125+00:00,2026-05-28T20:39:01.770373795+00:00,9.8,1
wg-era,t_fd9189d021db,work,done,2026-05-26T21:15:43.562818520+00:00,2026-05-26T21:26:40.752275846+00:00,11.0,1
wg-era,t_ebc7dcc12867,work,done,2026-05-28T21:27:24.701223363+00:00,2026-05-28T21:34:41.624784989+00:00,7.3,1
wg-era,t_0881c75cbdd6,work,done,2026-05-28T20:29:48.451251822+00:00,2026-05-28T20:52:15.526621741+00:00,22.5,1
wg-era,t_677ccf8b9d30,work,done,2026-05-28T21:53:06.414072232+00:00,2026-05-28T22:00:04.780365667+00:00,7.0,1
wg-era,t_a10cc8e17d8b,work,done,2026-05-27T19:18:30.438400201+00:00,2026-05-27T19:21:23.136543511+00:00,2.9,1
wg-era,t_58c21f435b3e,work,done,2026-05-26T20:31:17.110785504+00:00,2026-05-26T20:48:04.129243536+00:00,16.8,1
wg-era,t_401b16b2a672,work,abandoned,2026-05-28T20:29:48.915838955+00:00,,,
wg-era,t_850898c76219,work,done,2026-05-28T04:51:26.615373014+00:00,2026-05-28T04:58:07.742510856+00:00,6.7,1
wg-era,t_6d21eaadcd38,work,done,2026-05-28T12:23:28.211448194+00:00,2026-05-28T12:27:06.578383722+00:00,3.6,1
